Flight No.,Launch site,Payload mass,Orbit,Customer,Launch outcome,Booster landing,Version Booster,Date,Time,Payload,"Version, Booster"
1,CCAFS,0,LEO,SpaceX,Success,Failure,F9 v1.07B0003.18,4 June 2010,18:45,Dragon Spacecraft Qualification Unit,
1,CCAFS,0,LEO,NASA,Success,Failure,F9 v1.07B0003.18,4 June 2010,18:45,Dragon,
2,CCAFS,525 kg,LEO,NASA,Success,No attempt,F9 v1.07B0004.18,8 December 2010,15:43,Dragon,
3,CCAFS,"4,700 kg",LEO,NASA,Success,No attempt,F9 v1.07B0005.18,22 May 2012,07:44,SpaceX CRS-1,
4,CCAFS,"4,877 kg",LEO,NASA,Success,No attempt,F9 v1.07B0006.18,8 October 2012,00:35,SpaceX CRS-2,
5,CCAFS,500 kg,Polar orbit,MDA,Success,Uncontrolled,F9 v1.07B0007.18,1 March 2013,15:10,CASSIOPE,
6,VAFB,"3,170 kg",GTO,SES,Success,No attempt,F9 v1.17B10038,29 September 2013,16:00,SES-8,
7,CCAFS,"3,325 kg",GTO,Thaicom,Success,No attempt,F9 v1.1,3 December 2013,22:41,Thaicom 6,
8,CCAFS,"2,296 kg",LEO,NASA,Success,Controlled,F9 v1.1,6 January 2014,22:06,SpaceX CRS-3,
9,Cape Canaveral,"1,316 kg",LEO,Orbcomm,Success,Controlled,F9 v1.1,18 April 2014,19:25,Orbcomm-OG2,
10,Cape Canaveral,"4,535 kg",GTO,AsiaSat,Success,No attempt,F9 v1.1,14 July 2014,15:15,AsiaSat 8,
11,Cape Canaveral,"4,428 kg",GTO,AsiaSat,Success,No attempt,F9 v1.1,5 August 2014,08:00,AsiaSat 6,
12,Cape Canaveral,"2,216 kg",LEO,NASA,Success,Uncontrolled,F9 v1.1[,7 September 2014,05:00,SpaceX CRS-4,
13,Cape Canaveral,"2,395 kg",LEO,NASA,Success,Failure,F9 v1.1[,21 September 2014,05:52,SpaceX CRS-5,
14,Cape Canaveral,570 kg,HEO,USAF,Success,Controlled,F9 v1.1[,10 January 2015,09:47,DSCOVR,
15,Cape Canaveral,"4,159 kg",GTO,ABS,Success,No attempt,F9 v1.1[,11 February 2015,23:03,ABS-3A,
16,Cape Canaveral,"1,898 kg",LEO,NASA,Success,Failure,F9 v1.1[,2 March 2015,03:50,SpaceX CRS-6,
17,Cape Canaveral,"4,707 kg",GTO,Turkmenistan NationalSpace Agency[88],Success,No attempt,F9 v1.1[,14 April 2015,20:10,TürkmenÄlem 52°E / MonacoSAT,
18,Cape Canaveral,"1,952 kg",LEO,NASA,Failure,Precluded,F9 v1.1[,27 April 2015,23:03,SpaceX CRS-7,
19,Cape Canaveral,"2,034 kg",LEO,Orbcomm,Success,Success,F9 v1.1[,28 June 2015,14:21,Orbcomm-OG2,
20,Cape Canaveral,553 kg,LEO,NASA,Success,Failure,F9 FT[,22 December 2015,01:29,Jason-3,
21,VAFB,"5,271 kg",GTO,SES,Success,Failure,F9 v1.1[,17 January 2016,18:42,SES-9,
22,Cape Canaveral,"3,136 kg",LEO,NASA,Success,Success,F9 FT[,4 March 2016,23:35,SpaceX CRS-8,
23,Cape Canaveral,"4,696 kg",GTO,SKY Perfect JSAT Group,Success,Success,F9 FT[,8 April 2016,20:43,JCSAT-14,
24,Cape Canaveral,"3,100 kg",GTO,Thaicom,Success,Success,F9 FT[,6 May 2016,05:21,Thaicom 8,
25,Cape Canaveral,"3,600 kg",GTO,ABS,Success,Failure,F9 FT[,27 May 2016,21:39,ABS-2A,
26,Cape Canaveral,"2,257 kg",LEO,NASA,Success,Success,F9 FT[,15 June 2016,14:29,SpaceX CRS-9,
27,Cape Canaveral,"4,600 kg",GTO,SKY Perfect JSAT Group,Success,Success,F9 FT[,18 July 2016,04:45,JCSAT-16,
28,Cape Canaveral,"9,600 kg",Polar,Iridium Communications,Success,Success,F9 FT[,14 August 2016,05:26,Iridium NEXT,
29,VAFB,"2,490 kg",LEO,NASA,Success,Success,F9 FT[,14 January 2017,17:54,SpaceX CRS-10,
30,KSC,"5,600 kg",GTO,EchoStar,Success,No attempt,F9 FT[,19 February 2017,14:39,EchoStar 23,
31,KSC,"5,300 kg",GTO,SES,Success,Success,F9 FT[,16 March 2017,06:00,SES-10,
32,KSC,C,LEO,NRO,Success,Success,F9 FT♺[,30 March 2017,22:27,NROL-76,
33,KSC,"6,070 kg",GTO,Inmarsat,Success,No attempt,F9 FT[,1 May 2017,11:15,Inmarsat-5 F4,
34,KSC,"2,708 kg",LEO,NASA,Success,Success,F9 FT[,15 May 2017,23:21,SpaceX CRS-11,
